key,type1,type2,attributes/2,attributes/3,attributes/4,attributes/5,attributes/6,attributes/7,attributes/8,attributes/9,attributes/10,attributes/11,attributes/12,attributes/13,attributes/14,attributes/15,attributes/16,attributes/17,attributes/18,attributes/19,attributes/20,attributes/21,attributes/22,attributes/23,attributes/label,attributes/size,attributes/color
344,Belgian Science Policy,Belgium,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Belgian Science Policy,68.01361,#d99ea0
1602,Université libre de Bruxelles,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Université libre de Bruxelles,62.237648,#d99ea0
1351,Research.be,Belgium,Portal or other independent Websites,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Research.be,55.85343,#d99ea0
333,Bulgarian Academy of Sciences (BAS),Bulgaria,Research centers,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Bulgarian Academy of Sciences (BAS),46.965733,#aad7a7
1704,Vrije Universiteit Brussel,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vrije Universiteit Brussel,46.965733,#d99ea0
242,The Academy of Finland,Finland,Policy makers and governmental organizations,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Academy of Finland,42.374294,#b7e0d5
460,Cité des Sciences et de l'Industrie,France,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cité des Sciences et de l'Industrie,42.374294,#c02943
639,European Science Foundation,International,International,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,European Science Foundation,41.730556,#08486b
1244,University of Oulu,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,University of Oulu,40.452568,#b7e0d5
1645,University of Tampere,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,University of Tampere,39.81839,#b7e0d5
